,Event ID,Run ID,Dec,RA,Signalness,MJD,Stream,Cut,Dec err,RA err
145,15195696,128292,20.07,312.63,0.385,57600.78487911152,GFU,BRONZE,4.6899999999999995,6.95
146,26552458,128311,-0.71,122.78,0.578,57606.51496299994,GFU,GOLD,1.12,2.11
147,9739548,128334,48.83,86.99,0.527,57612.68415338799,GFU,BRONZE,19.95,30.58
148,58537957,128340,-32.13,200.04,0.607,57614.90687586575,HESE,GOLD,2.99,5.800000000000001
149,14557367,128547,1.34,241.13,0.508,57655.74106664507,GFU,GOLD,6.199999999999999,10.809999999999999
150,21044380,128567,37.12,192.57,0.639,57662.43916514374,GFU,GOLD,4.0,4.57
151,54200591,128606,-7.48,190.06,0.252,57673.61257692857,GFU,GOLD,5.16,6.24
152,62194858,128632,23.72,121.42,0.434,57682.30923513319,GFU,BRONZE,3.95,5.54
153,44166050,128651,1.53,119.0,0.376,57688.56969003272,GFU,BRONZE,4.71,5.18
154,38561326,128672,12.52,40.87,0.311,57695.38022137248,HESE,BRONZE,1.7599999999999998,1.62
155,32356079,128755,1.6,78.66,0.504,57709.33199321103,GFU,GOLD,3.69,3.7800000000000002
156,76992952,128785,-0.11,140.01,0.403,57717.4301438235,GFU,BRONZE,1.6099999999999999,3.34
157,26367207,128796,73.27,257.55,0.453,57719.66475003057,GFU,BRONZE,15.670000000000002,65.69
158,80127519,128906,15.25,46.36,0.38,57732.83796659917,EHE,GOLD,2.0100000000000002,3.29
159,17750653,128967,17.78,61.79,0.417,57746.53736344514,GFU,BRONZE,3.02,4.87
160,20626582,129020,8.16,309.95,0.535,57758.14192253704,GFU,GOLD,5.34,12.57
161,66284903,129144,33.2,180.35,0.462,57790.54898658779,GFU,BRONZE,4.01,9.05
162,11436007,129153,16.84,99.67,0.431,57792.12812411078,GFU,BRONZE,3.1500000000000004,5.89
163,45298080,129154,4.59,92.81,0.328,57792.59523275074,GFU,BRONZE,2.0999999999999996,2.2800000000000002
164,51118868,129232,4.26,205.09,0.267,57811.06487576161,GFU,BRONZE,2.21,5.85
165,34234803,129267,5.53,155.35,0.254,57820.92487656164,GFU,BRONZE,1.88,3.21
166,80305071,129307,-15.06,98.26,0.242,57833.31412844517,EHE,GOLD,2.24,2.24
167,59928529,129420,5.53,240.95,0.391,57865.64570820188,GFU,BRONZE,1.8399999999999999,9.05
