,Unnamed: 0,Event ID,Run ID,Dec,RA,Signalness,MJD,Stream,Cut,Dec err,RA err,TS_1.0e+03,ns_1.0e+03,p_1.0e+03,TS_1.7e+05,ns_1.7e+05,p_1.7e+05,TS_steady,ns_steady,p_steady,ra_steady,dec_steady,gamma_steady
263,263,41069485,134535,32.93,184.75,0.434,59118.94131052108,GFU,BRONZE,2.04,5.19,0.0,0.0,1.0,0.0,0.0,1.0,1.290723162407632,5.463650382264421,0.67275,3.2152237315941425,0.5646940554426663,2.219230946780468
264,264,68615710,134552,3.47,29.53,0.475,59121.74209304676,GFU,GOLD,1.05,1.06,0.0,0.0,1.0,0.0,0.0,1.0,3.4934999951049335,38.19232479500605,0.1395,0.5136751032033008,0.05862083331567189,3.324432107240041
265,265,31638233,134577,5.34,265.17,0.885,59129.91793155675,GFU,GOLD,0.49,0.96,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,6.280117345603815,0.7297276562269662,2.0
266,266,66310113,134599,14.44,221.22,0.414,59136.0926797675,GFU,BRONZE,1.12,2.16,0.0,0.0,1.0,0.0,0.0,1.0,2.708156493983828,4.254380193953844,0.1795,3.8564277007445016,0.2526802551420786,1.7841264461500113
267,267,31008065,134621,14.55,260.82,0.297,59143.27624401794,GFU,BRONZE,2.0,3.38,0.0,0.0,1.0,1.893167859217301,1.6202312528692544,0.0812,3.9966243141003943,25.815927784021902,0.203,4.547804345094732,0.26363502394446625,2.8055000889047332
268,268,40735501,134698,5.87,105.73,0.562,59167.62884218325,GFU,GOLD,2.06,2.19,0.0,0.0,1.0,0.0,0.0,1.0,0.7004924498092322,14.062208737418834,0.7595,1.8395462679377717,0.11111236626969408,2.85461936904497
269,269,70289682,134699,1.38,195.12,0.46,59168.08849784114,GFU,GOLD,2.35,2.68,0.0,0.0,1.0,3.0324343604410946,1.0361669037943557,0.0632,2.771873864694699,15.153150379619634,0.397,3.3967321289946666,0.0354083725366191,2.420498608783623
270,270,65785778,134715,40.72,307.66,0.503,59173.40602495983,GFU,BRONZE,7.77,10.87,0.0,0.0,1.0,2.0669055454005187,1.0326923775128,0.28,14.272359678559855,65.59179761856593,0.01025,5.373879814536427,0.7775346418558668,3.9937325826808325
271,271,31476488,134751,-12.1,30.54,0.15,59183.84845457848,EHE,GOLD,2.25,2.37,0.0,0.0,1.0,1.5795443181010835,0.8799685377743619,0.1268,2.1438853410881857,11.961918938013032,0.46125,0.5416504806582738,-0.20890194090808925,4.00860969887574
272,272,8912764,134777,-9.25,6.86,0.19,59192.42759194133,EHE,GOLD,2.04,2.2,0.0,0.0,1.0,0.0,0.0,1.0,8.06626563659955,22.872550781975512,0.032,0.12604132878463012,-0.16575973080451104,4.155608189239179
273,273,29175858,134817,41.81,261.69,0.564,59204.52561869099,GFU,GOLD,2.39,4.74,0.0,0.0,1.0,0.0,0.2763715018930124,1.0,0.5641172650575736,14.350491147728999,0.71575,4.557783159747367,0.7213514921378026,3.1628654877612994
274,274,73718836,134818,13.44,206.37,0.534,59205.03907574695,GFU,GOLD,0.8800000000000001,1.63,0.0,0.0,1.0,0.0,0.0,1.0,0.05790609748621722,2.8610778965814423,0.6445,3.5987189283797143,0.2365756108455428,2.8989967602810855
